date,price,volume,sentiment,volatility
2023-01-01,126.41,241716.0,-0.96,0.153
2023-01-02,96.62,174890.0,-0.31,
2023-01-03,184.52,941092.0,-0.18,0.155
2023-01-04,75.6,57843.0,-0.07,0.048
2023-01-05,169.08,202321.0,,0.045
2023-01-06,,5208.0,0.37,0.021
2023-01-07,152.52,,-0.26,0.165
2023-01-08,122.7,530220.0,-0.58,0.12
2023-01-09,65.56,480309.0,0.23,0.112
2023-01-10,57.81,900273.0,-0.09,0.028
2023-01-11,91.48,195901.0,0.83,0.056
2023-01-12,95.78,,,0.105
2023-01-13,,586534.0,0.26,0.043
2023-01-14,192.5,769547.0,0.77,0.124
2023-01-15,63.2,478137.0,0.62,0.037
2023-01-16,196.79,636155.0,-0.12,0.067
2023-01-17,168.41,395971.0,-0.26,0.153
2023-01-18,91.04,934828.0,-0.69,0.083
2023-01-19,183.27,507794.0,-0.78,0.118
2023-01-20,80.92,283855.0,0.58,0.198
2023-01-21,142.86,166038.0,,0.08
2023-01-22,194.29,480915.0,0.19,0.037
2023-01-23,83.54,538161.0,0.35,
2023-01-24,70.64,431818.0,-0.98,0.041
2023-01-25,190.66,695970.0,-0.32,0.098
2023-01-26,147.4,270365.0,0.38,0.15
2023-01-27,77.21,871590.0,0.26,0.176
2023-01-28,132.8,387834.0,-0.46,
2023-01-29,,407923.0,-0.65,0.049
2023-01-30,144.64,607737.0,-0.44,0.189
2023-01-31,,449065.0,0.29,
2023-02-01,62.33,683102.0,-0.03,0.06
2023-02-02,66.24,,0.93,
2023-02-03,68.89,159779.0,0.96,0.155
2023-02-04,109.05,610943.0,0.26,0.081
2023-02-05,106.92,48990.0,0.12,
2023-02-06,,324465.0,0.26,0.032
2023-02-07,118.34,217456.0,-0.55,
2023-02-08,72.15,707722.0,-0.15,
2023-02-09,,,-0.19,0.088
2023-02-10,181.09,171073.0,0.04,0.045
2023-02-11,172.88,675276.0,0.72,0.06
2023-02-12,108.17,468099.0,,0.138
2023-02-13,71.05,461056.0,,
2023-02-14,146.73,,,0.166
2023-02-15,116.94,437895.0,,0.087
2023-02-16,,68840.0,0.21,0.095
2023-02-17,155.75,650851.0,-0.34,0.151
2023-02-18,83.07,78015.0,-0.94,0.18
2023-02-19,108.1,141965.0,0.96,0.019
2023-02-20,138.6,557280.0,,0.196
2023-02-21,177.23,267891.0,,0.106
2023-02-22,168.21,708895.0,0.06,0.137
2023-02-23,150.79,644560.0,0.74,
2023-02-24,,,-0.03,0.099
2023-02-25,,321615.0,0.97,0.15
2023-02-26,199.46,811384.0,0.61,0.171
2023-02-27,120.72,300186.0,-0.92,0.144
2023-02-28,171.84,348157.0,-0.29,0.092
2023-03-01,197.69,921462.0,-0.05,0.16
2023-03-02,183.23,735152.0,-0.76,0.073
2023-03-03,65.12,245240.0,-0.12,0.074
2023-03-04,116.16,52549.0,-0.23,
2023-03-05,102.11,180694.0,,0.156
2023-03-06,96.47,884609.0,-0.93,0.185
2023-03-07,113.48,461101.0,0.72,0.127
2023-03-08,,928963.0,0.48,0.067
2023-03-09,54.52,,0.97,
2023-03-10,134.52,476641.0,0.13,0.086
2023-03-11,184.1,851944.0,,0.055
2023-03-12,138.24,,-0.56,0.027
2023-03-13,180.28,57150.0,0.14,0.183
2023-03-14,58.79,513634.0,0.11,0.197
2023-03-15,133.06,123790.0,,0.196
2023-03-16,,944732.0,0.79,0.036
2023-03-17,116.6,188667.0,,0.08
2023-03-18,135.31,636709.0,-0.57,0.02
2023-03-19,103.21,424742.0,,
2023-03-20,90.58,77565.0,-0.92,0.158
2023-03-21,,727637.0,0.34,0.167
2023-03-22,110.88,97556.0,-0.18,
2023-03-23,52.67,968446.0,,0.029
2023-03-24,134.83,473521.0,0.54,0.038
2023-03-25,93.72,75094.0,-0.05,0.12
2023-03-26,167.76,237443.0,-0.09,0.142
2023-03-27,173.65,520680.0,,
2023-03-28,122.1,153813.0,-0.24,0.196
2023-03-29,62.84,656088.0,1.0,0.13
2023-03-30,,928872.0,0.47,0.103
2023-03-31,125.9,994674.0,0.28,0.159
2023-04-01,,995117.0,0.34,0.046
2023-04-02,,650108.0,0.12,0.2
2023-04-03,52.14,793017.0,-0.23,0.032
2023-04-04,102.27,412019.0,0.73,0.068
2023-04-05,132.01,,,0.174
2023-04-06,195.7,778700.0,-0.12,0.041
2023-04-07,110.48,471135.0,-0.62,
2023-04-08,84.18,800291.0,0.1,0.027
2023-04-09,122.93,115299.0,0.45,0.099
2023-04-10,76.24,339026.0,0.42,0.098
